iter	Passed	Remaining
414	3269	36123
415	3277	36115
416	3285	36114
417	3293	36105
418	3301	36095
419	3309	36085
420	3317	36078
421	3325	36071
422	3333	36067
423	3341	36061
424	3349	36054
425	3357	36046
426	3364	36037
427	3372	36029
428	3380	36021
429	3388	36011
430	3396	36004
431	3404	35996
432	3412	35988
433	3420	35986
434	3428	35979
435	3436	35971
436	3444	35963
437	3452	35956
438	3460	35949
439	3468	35942
440	3476	35935
441	3484	35928
442	3492	35923
443	3500	35918
444	3508	35910
445	3515	35899
446	3523	35890
447	3535	35924
448	3543	35914
449	3551	35906
450	3559	35899
451	3567	35891
452	3574	35882
453	3582	35872
454	3590	35861
455	3598	35854
456	3605	35844
457	3613	35836
458	3621	35827
459	3629	35817
460	3636	35809
461	3646	35816
462	3654	35808
463	3662	35801
464	3670	35793
465	3678	35791
466	3686	35782
467	3694	35773
468	3701	35764
469	3709	35756
470	3717	35749
471	3725	35739
472	3733	35730
473	3741	35721
474	3748	35713
475	3756	35702
476	3764	35693
477	3771	35683
478	3779	35672
479	3787	35665
480	3795	35658
481	3803	35649
482	3821	35738
483	3829	35732
484	3837	35721
485	3844	35710
486	3852	35699
487	3860	35689
488	3867	35679
489	3876	35679
490	3884	35669
491	3895	35692
492	3903	35683
493	3910	35673
494	3918	35664
495	3926	35653
496	3934	35643
497	3941	35632
498	3949	35621
499	3957	35613
500	3964	35603
501	3972	35591
502	3979	35579
503	3987	35572
504	3995	35564
505	4003	35558
506	4011	35551
507	4019	35542
508	4026	35529
509	4034	35521
510	4042	35510
511	4050	35501
512	4058	35495
513	4065	35484
514	4073	35475
515	4080	35463
516	4088	35455
517	4096	35447
518	4104	35437
519	4112	35428
520	4120	35419
521	4127	35410
522	4135	35400
523	4143	35391
524	4162	35479
525	4175	35517
526	4183	35509
527	4192	35505
528	4200	35498
529	4207	35489
530	4215	35479
531	4223	35471
532	4231	35462
533	4239	35454
534	4246	35444
535	4255	35438
536	4263	35431
537	4270	35420
538	4278	35412
539	4286	35403
540	4294	35395
541	4302	35388
542	4310	35379
543	4318	35371
544	4326	35363
545	4333	35353
546	4345	35378
547	4353	35368
548	4361	35358
549	4369	35350
550	4377	35342
551	4384	35332
552	4393	35328
553	4401	35322
554	4409	35312
555	4416	35303
556	4424	35295
557	4432	35286
558	4440	35278
559	4448	35269
560	4456	35259
561	4464	35252
562	4471	35243
563	4479	35234
564	4487	35225
565	4495	35217
566	4503	35207
567	4511	35198
568	4519	35191
569	4527	35185
570	4535	35177
571	4542	35167
572	4550	35159
573	4558	35152
574	4566	35143
575	4574	35133
576	4584	35140
577	4592	35132
578	4599	35122
579	4608	35116
580	4615	35107
581	4624	35101
582	4631	35093
583	4639	35085
584	4647	35078
585	4655	35070
586	4663	35060
587	4671	35050
588	4679	35043
589	4687	35035
590	4695	35027
591	4703	35020
592	4711	35010
593	4718	35001
594	4726	34993
595	4734	34984
596	4742	34976
597	4750	34969
598	4758	34961
599	4766	34955
600	4774	34944
601	4782	34936
602	4789	34927
603	4797	34918
604	4805	34909
605	4813	34904
606	4825	34924
607	4833	34915
608	4841	34906
609	4848	34896
610	4856	34888
611	4864	34879
612	4872	34870
613	4880	34863
614	4888	34855
615	4896	34847
616	4904	34836
617	4911	34827
618	4920	34821
619	4927	34812
620	4935	34802
621	4943	34795
622	4951	34786
623	4959	34779
624	4967	34771
625	4975	34762
626	4983	34759
627	4991	34751
628	4999	34743
629	5007	34735
630	5015	34728
631	5023	34719
632	5031	34711
633	5039	34703
634	5047	34694
635	5054	34685
636	5062	34676
637	5070	34667
638	5078	34659
639	5086	34651
640	5094	34644
641	5102	34634
642	5121	34701
643	5129	34698
644	5137	34688
645	5145	34680
646	5153	34672
647	5162	34668
648	5169	34660
649	5178	34653
650	5185	34643
651	5193	34634
652	5201	34625
653	5209	34618
654	5217	34610
655	5225	34602
656	5233	34593
657	5241	34584
658	5249	34577
659	5257	34570
660	5265	34562
661	5273	34557
662	5281	34547
663	5289	34541
664	5297	34530
665	5304	34521
666	5312	34511
667	5320	34503
668	5328	34494
669	5336	34485
670	5344	34477
671	5351	34468
672	5359	34460
673	5367	34452
674	5375	34443
675	5383	34434
676	5390	34424
677	5398	34415
678	5406	34406
679	5414	34398
680	5422	34389
681	5429	34379
682	5437	34369
683	5445	34360
684	5453	34352
685	5461	34345
686	5469	34336
687	5477	34328
688	5485	34319
689	5492	34311
690	5500	34302
691	5510	34307
692	5518	34298
693	5528	34301
694	5536	34293
695	5546	34298
696	5554	34291
697	5562	34285
698	5570	34276
699	5578	34268
700	5586	34259
701	5594	34250
702	5601	34241
703	5609	34231
704	5617	34223
705	5625	34215
706	5633	34207
707	5641	34197
708	5649	34188
709	5656	34180
710	5664	34171
711	5672	34161
712	5680	34153
713	5688	34147
714	5696	34141
715	5704	34132
716	5712	34122
717	5720	34113
718	5728	34105
719	5735	34097
720	5743	34088
721	5751	34081
722	5759	34071
723	5770	34079
724	5777	34070
725	5785	34060
726	5793	34051
727	5801	34043
728	5809	34034
729	5816	34024
730	5824	34014
731	5832	34005
732	5840	33997
733	5847	33987
734	5855	33979
735	5863	33970
736	5871	33961
737	5879	33952
738	5887	33945
739	5895	33936
740	5902	33927
741	5910	33917
742	5918	33908
743	5926	33900
744	5934	33892
745	5942	33884
746	5950	33877
747	5958	33868
748	5966	33860
749	5973	33851
750	5981	33844
751	5989	33836
752	5997	33828
753	6005	33820
754	6013	33812
755	6021	33804
756	6029	33796
757	6037	33787
758	6045	33779
759	6053	33771
760	6061	33762
761	6074	33786
762	6092	33830
763	6099	33820
764	6107	33812
765	6116	33806
766	6124	33798
767	6132	33790
768	6140	33782
769	6147	33773
770	6156	33766
771	6164	33758
772	6172	33751
773	6180	33743
774	6187	33734
775	6196	33727
776	6203	33718
777	6211	33710
778	6219	33701
779	6227	33694
780	6235	33685
781	6243	33676
782	6251	33667
783	6258	33658
784	6266	33650
785	6275	33642
786	6282	33633
787	6290	33624
788	6298	33615
789	6306	33607
790	6314	33600
791	6322	33592
792	6330	33583
793	6338	33574
794	6345	33565
795	6358	33581
796	6366	33574
797	6374	33564
798	6391	33607
799	6399	33599
800	6407	33589
801	6415	33581
802	6423	33573
803	6431	33564
804	6439	33556
805	6447	33548
806	6455	33539
807	6463	33531
808	6473	33534
809	6481	33529
810	6489	33520
811	6497	33512
812	6505	33504
813	6513	33496
814	6521	33486
815	6529	33477
816	6536	33466
817	6544	33457
818	6551	33447
819	6559	33439
820	6567	33430
821	6575	33420
822	6582	33410
823	6590	33400
824	6598	33390
825	6606	33382
826	6613	33372
827	6621	33364
828	6629	33355
829	6637	33346
830	6644	33336
831	6652	33326
832	6660	33317
833	6668	33310
834	6676	33301
835	6684	33292
836	6692	33284
837	6699	33274
838	6710	33280
839	6718	33271
840	6726	33262
841	6733	33252
842	6741	33243
843	6749	33234
844	6757	33225
845	6764	33215
846	6772	33206
847	6780	33197
848	6787	33188
849	6795	33178
850	6803	33169
851	6810	33159
852	6818	33150
853	6826	33142
854	6834	33132
855	6842	33125
856	6850	33116
857	6858	33107
858	6865	33098
859	6873	33088
860	6881	33080
861	6889	33071
862	6897	33062
863	6904	33053
864	6912	33044
865	6920	33036
866	6928	33026
867	6935	33016
868	6943	33006
869	6950	32996
870	6958	32987
871	6966	32978
872	6974	32971
873	6982	32961
874	6989	32950
875	7004	32977
876	7012	32968
877	7020	32959
878	7028	32950
879	7047	32993
880	7056	32990
881	7071	33015
882	7086	33040
883	7096	33042
884	7104	33034
885	7112	33025
886	7120	33017
887	7128	33009
888	7136	33000
889	7144	32991
890	7152	32983
891	7159	32973
892	7167	32965
893	7175	32955
894	7183	32948
895	7191	32939
896	7199	32930
897	7211	32941
898	7219	32933
899	7227	32924
900	7235	32914
901	7242	32904
902	7250	32895
903	7258	32887
904	7266	32878
905	7273	32869
906	7281	32861
907	7289	32851
908	7297	32842
909	7305	32833
910	7312	32824
911	7321	32817
912	7329	32809
913	7337	32800
914	7344	32791
915	7352	32781
916	7360	32772
917	7368	32762
918	7375	32753
919	7383	32743
920	7391	32734
921	7399	32726
922	7406	32717
923	7416	32714
924	7424	32706
925	7432	32698
926	7440	32689
927	7447	32681
928	7455	32671
929	7463	32663
930	7471	32654
931	7479	32645
932	7486	32635
933	7494	32628
934	7502	32619
935	7510	32609
936	7518	32600
937	7525	32590
938	7533	32580
939	7541	32571
940	7548	32562
941	7556	32554
942	7564	32545
943	7572	32537
944	7580	32529
945	7588	32520
946	7596	32512
947	7604	32502
948	7611	32492
949	7619	32484
950	7627	32474
951	7635	32466
952	7643	32457
953	7654	32461
954	7661	32452
955	7669	32444
956	7677	32436
957	7685	32427
958	7693	32418
959	7701	32410
960	7709	32402
961	7717	32393
962	7725	32385
963	7733	32377
964	7741	32368
965	7748	32359
966	7756	32350
967	7764	32340
968	7772	32334
969	7780	32326
970	7788	32317
971	7796	32308
972	7804	32299
973	7812	32292
974	7820	32283
975	7828	32275
976	7836	32266
977	7844	32258
978	7851	32249
979	7859	32241
980	7867	32232
981	7875	32223
982	7883	32215
983	7891	32205
984	7898	32196
985	7906	32188
986	7914	32179
987	7922	32171
988	7930	32162
989	7938	32153
990	7945	32144
991	7953	32135
992	7961	32126
993	7969	32116
994	7976	32107
995	7984	32098
996	8007	32151
997	8016	32144
998	8024	32136
999	8031	32127
1000	8039	32119
1001	8048	32112
1002	8056	32105
1003	8064	32096
1004	8072	32088
1005	8080	32079
1006	8087	32070
1007	8095	32061
1008	8103	32052
1009	8111	32044
1010	8119	32035
1011	8127	32027
1012	8135	32019
1013	8143	32011
1014	8151	32003
1015	8159	31994
1016	8167	31987
1017	8175	31979
1018	8183	31970
1019	8191	31961
1020	8199	31954
1021	8207	31946
1022	8215	31937
1023	8223	31928
1024	8231	31923
1025	8239	31914
1026	8247	31906
1027	8255	31897
1028	8263	31888
1029	8272	31883
1030	8280	31876
1031	8288	31867
1032	8295	31858
1033	8303	31849
1034	8311	31840
1035	8319	31832
1036	8327	31823
1037	8335	31815
1038	8343	31807
1039	8352	31804
1040	8360	31796
1041	8368	31787
1042	8376	31778
1043	8384	31769
1044	8392	31761
1045	8400	31752
1046	8408	31745
1047	8415	31736
1048	8424	31728
1049	8432	31721
1050	8440	31712
1051	8447	31703
1052	8455	31694
1053	8463	31686
1054	8471	31678
1055	8479	31669
1056	8487	31659
1057	8494	31650
1058	8502	31642
1059	8510	31634
1060	8527	31657
1061	8537	31659
1062	8545	31650
1063	8553	31641
1064	8561	31632
1065	8569	31623
1066	8576	31614
1067	8587	31617
1068	8595	31607
1069	8603	31598
1070	8611	31590
1071	8618	31580
1072	8626	31571
1073	8634	31561
1074	8641	31551
1075	8649	31542
1076	8656	31532
1077	8664	31522
1078	8671	31513
1079	8679	31503
1080	8687	31494
1081	8695	31485
1082	8702	31475
1083	8710	31466
1084	8718	31458
1085	8726	31449
1086	8733	31440
1087	8741	31430
1088	8748	31420
1089	8756	31410
1090	8764	31401
1091	8771	31392
1092	8780	31385
1093	8788	31376
1094	8795	31367
1095	8803	31359
1096	8811	31351
1097	8819	31341
1098	8826	31332
1099	8834	31323
1100	8842	31314
1101	8850	31305
1102	8857	31295
1103	8865	31286
1104	8873	31277
1105	8881	31268
1106	8888	31259
1107	8896	31249
1108	8904	31242
1109	8912	31232
1110	8919	31223
1111	8927	31214
1112	8935	31206
1113	8943	31196
1114	8967	31244
1115	8975	31236
1116	8982	31226
1117	8990	31218
1118	8998	31208
1119	9006	31199
1120	9013	31190
1121	9021	31180
1122	9029	31171
1123	9036	31162
1124	9044	31152
1125	9052	31143
1126	9059	31134
1127	9067	31124
1128	9075	31117
1129	9083	31107
1130	9090	31098
1131	9098	31088
1132	9105	31079
1133	9113	31070
1134	9121	31060
1135	9129	31051
1136	9136	31042
1137	9144	31033
1138	9152	31024
1139	9160	31016
1140	9168	31007
1141	9175	30998
1142	9185	30997
1143	9193	30988
1144	9201	30979
1145	9209	30970
1146	9216	30961
1147	9226	30960
1148	9234	30951
1149	9242	30942
1150	9250	30933
1151	9257	30923
1152	9265	30914
1153	9273	30904
1154	9280	30895
1155	9288	30885
1156	9297	30881
1157	9305	30872
1158	9312	30863
1159	9320	30854
1160	9328	30846
1161	9336	30838
1162	9344	30828
1163	9352	30820
1164	9359	30810
1165	9367	30801
1166	9375	30792
1167	9383	30784
1168	9390	30774
1169	9398	30765
1170	9406	30757
1171	9413	30747
1172	9421	30738
1173	9429	30728
1174	9436	30720
1175	9444	30711
1176	9452	30702
1177	9460	30693
1178	9468	30687
1179	9476	30677
1180	9484	30669
1181	9491	30659
1182	9499	30651
1183	9507	30641
1184	9515	30633
1185	9526	30635
1186	9534	30627
1187	9542	30618
1188	9549	30609
1189	9557	30600
1190	9565	30592
1191	9573	30583
1192	9581	30574
1193	9588	30565
1194	9596	30556
1195	9604	30548
1196	9612	30539
1197	9620	30530
1198	9627	30521
1199	9636	30514
1200	9643	30504
1201	9651	30496
1202	9659	30487
1203	9666	30478
1204	9675	30470
1205	9683	30462
1206	9690	30453
1207	9698	30445
1208	9706	30437
1209	9714	30428
1210	9722	30420
1211	9730	30410
1212	9738	30402
1213	9746	30394
1214	9754	30386
1215	9761	30377
1216	9769	30368
1217	9777	30358
1218	9785	30351
1219	9793	30343
1220	9801	30335
1221	9809	30326
1222	9817	30318
1223	9824	30309
1224	9832	30300
1225	9840	30292
1226	9848	30283
1227	9856	30275
1228	9864	30266
1229	9871	30257
1230	9879	30249
1231	9887	30240
1232	9895	30232
1233	9908	30238
1234	9920	30243
1235	9936	30259
1236	9944	30250
1237	9952	30242
1238	9959	30233
1239	9967	30225
1240	9975	30216
1241	9983	30207
1242	9991	30198
1243	9999	30190
1244	10006	30181
1245	10014	30172
1246	10022	30164
1247	10036	30174
1248	10044	30165
1249	10052	30157
1250	10060	30148
1251	10068	30139
1252	10075	30131
1253	10083	30122
1254	10091	30114
1255	10099	30105
1256	10107	30096
1257	10114	30087
1258	10122	30078
1259	10130	30070
1260	10138	30061
1261	10146	30052
1262	10154	30044
1263	10161	30035
1264	10169	30026
1265	10177	30018
1266	10185	30009
1267	10193	30001
1268	10201	29992
1269	10209	29984
1270	10217	29975
1271	10225	29967
1272	10232	29959
1273	10241	29954
1274	10249	29945
1275	10257	29937
1276	10265	29929
1277	10273	29920
1278	10281	29912
1279	10289	29903
1280	10297	29895
1281	10305	29886
1282	10313	29878
1283	10320	29869
1284	10328	29861
1285	10336	29852
1286	10344	29844
1287	10352	29836
1288	10360	29827
1289	10368	29819
1290	10375	29809
1291	10383	29801
1292	10391	29793
1293	10399	29784
1294	10407	29775
1295	10415	29767
1296	10423	29758
1297	10430	29749
1298	10438	29740
1299	10446	29731
1300	10454	29723
1301	10462	29714
1302	10470	29706
1303	10477	29697
1304	10485	29688
1305	10493	29680
1306	10501	29671
1307	10509	29663
1308	10517	29655
1309	10525	29647
1310	10533	29639
1311	10540	29630
1312	10548	29622
1313	10556	29614
1314	10564	29605
1315	10572	29597
1316	10580	29588
1317	10588	29580
1318	10597	29573
1319	10604	29565
1320	10612	29556
1321	10620	29548
1322	10628	29539
1323	10636	29531
1324	10644	29523
1325	10652	29515
1326	10660	29506
1327	10667	29497
1328	10675	29489
1329	10683	29479
1330	10691	29471
1331	10699	29463
1332	10707	29455
1333	10715	29446
1334	10723	29439
1335	10731	29430
1336	10738	29421
1337	10746	29412
1338	10754	29403
1339	10762	29395
1340	10769	29386
1341	10777	29377
1342	10785	29369
1343	10793	29360
1344	10801	29352
1345	10809	29344
1346	10817	29335
1347	10825	29328
1348	10833	29320
1349	10841	29310
1350	10848	29301
1351	10856	29293
1352	10864	29285
1353	10881	29300
1354	10892	29302
1355	10900	29293
1356	10908	29284
1357	10916	29276
1358	10924	29268
1359	10932	29260
1360	10940	29251
1361	10947	29242
1362	10955	29234
1363	10963	29225
1364	10971	29218
1365	10979	29208
1366	10987	29200
1367	10994	29191
1368	11002	29182
1369	11010	29174
1370	11018	29165
1371	11026	29157
1372	11034	29149
1373	11042	29141
1374	11050	29133
1375	11058	29125
1376	11066	29117
1377	11074	29109
1378	11087	29114
1379	11096	29107
1380	11103	29098
1381	11111	29090
1382	11119	29081
1383	11127	29073
1384	11135	29064
1385	11143	29056
1386	11151	29048
1387	11163	29052
1388	11173	29048
1389	11181	29040
1390	11189	29031
1391	11197	29022
1392	11205	29015
1393	11213	29006
1394	11221	28998
1395	11229	28989
1396	11237	28981
1397	11244	28972
1398	11252	28964
1399	11260	28956
1400	11268	28948
1401	11276	28939
1402	11284	28931
1403	11292	28922
1404	11300	28913
1405	11307	28905
1406	11315	28896
1407	11324	28889
1408	11331	28880
1409	11339	28872
1410	11347	28863
1411	11355	28854
1412	11363	28846
1413	11371	28838
1414	11378	28829
1415	11387	28821
1416	11395	28814
1417	11406	28814
1418	11414	28806
1419	11422	28798
1420	11430	28789
1421	11438	28782
1422	11446	28773
1423	11454	28765
1424	11463	28758
1425	11470	28749
1426	11478	28741
1427	11487	28734
1428	11494	28725
1429	11502	28716
1430	11510	28708
1431	11518	28699
